rank,country_name,gold,silver,bronze,total,year,season,location,country_flag,country_id,index
59,Fiji,1,0,1,2,2020,summer,Tokyo - Japan,249-Fiji.png,142,52
59,Latvia,1,0,1,2,2020,summer,Tokyo - Japan,56-Latvia.png,18,52
59,Thailand,1,0,1,2,2020,summer,Tokyo - Japan,134-Thailand.png,50,52
63,Bermuda,1,0,0,1,2020,summer,Tokyo - Japan,256-Bermuda.png,149,52
63,Morocco,1,0,0,1,2020,summer,Tokyo - Japan,100-Morocco.png,32,52
63,Puerto Rico,1,0,0,1,2020,summer,Tokyo - Japan,207-Puerto Rico.png,105,52
66,Colombia,0,4,1,5,2020,summer,Tokyo - Japan,129-Colombia.png,47,52
67,Azerbaijan,0,3,4,7,2020,summer,Tokyo - Japan,246-Azerbaijan.png,140,52
68,Dominican Republic,0,3,2,5,2020,summer,Tokyo - Japan,160-Dominican Republic.png,70,52
69,Armenia,0,2,2,4,2020,summer,Tokyo - Japan,196-Armenia.png,98,52
70,Kyrgyzstan,0,2,1,3,2020,summer,Tokyo - Japan,215-Kyrgyzstan.png,157,52
71,Mongolia,0,1,3,4,2020,summer,Tokyo - Japan,182-Mongolia.png,86,52
72,Argentina,0,1,2,3,2020,summer,Tokyo - Japan,237-Argentina.png,131,52
72,San Marino,0,1,2,3,2020,summer,Tokyo - Japan,257-San Marino.png,150,52
74,Jordan,0,1,1,2,2020,summer,Tokyo - Japan,250-Jordan.png,143,52
74,Malaysia,0,1,1,2,2020,summer,Tokyo - Japan,185-Malaysia.png,89,52
74,Nigeria,0,1,1,2,2020,summer,Tokyo - Japan,111-Nigeria.png,38,52
77,Bahrain,0,1,0,1,2020,summer,Tokyo - Japan,239-Bahrain.png,133,52
77,Lithuania,0,1,0,1,2020,summer,Tokyo - Japan,219-Lithuania.png,115,52
77,Namibia,0,1,0,1,2020,summer,Tokyo - Japan,177-Namibia.png,83,52
77,North Macedonia,0,1,0,1,2020,summer,Tokyo - Japan,258-North Macedonia.png,151,52
77,Saudi Arabia,0,1,0,1,2020,summer,Tokyo - Japan,210-Saudi Arabia.png,107,52
77,Turkmenistan,0,1,0,1,2020,summer,Tokyo - Japan,259-Turkmenistan.png,152,52
83,Kazakhstan,0,0,8,8,2020,summer,Tokyo - Japan,190-Kazakhstan.png,94,52
84,Mexico,0,0,4,4,2020,summer,Tokyo - Japan,115-Mexico.png,40,52
85,Finland,0,0,2,2,2020,summer,Tokyo - Japan,30-Finland.png,8,52
86,Botswana,0,0,1,1,2020,summer,Tokyo - Japan,241-Botswana.png,135,52
86,Burkina Faso,0,0,1,1,2020,summer,Tokyo - Japan,260-Burkina Faso.png,153,52
86,Ghana,0,0,1,1,2020,summer,Tokyo - Japan,130-Ghana.png,48,52
86,Grenada,0,0,1,1,2020,summer,Tokyo - Japan,240-Grenada.png,134,52
86,Ivory Coast,0,0,1,1,2020,summer,Tokyo - Japan,154-Ivory Coast.png,64,52
86,Kuwait,0,0,1,1,2020,summer,Tokyo - Japan,214-Kuwait.png,111,52
86,Moldova,0,0,1,1,2020,summer,Tokyo - Japan,200-Moldova.png,100,52
86,Syria,0,0,1,1,2020,summer,Tokyo - Japan,156-Syria.png,66,52
1,Norway,16,8,13,37,2022,winter,Beijing - China,17-Norway.png,3,53
2,Germany,12,10,5,27,2022,winter,Beijing - China,81-Germany.png,24,53
3,United States,9,9,7,25,2022,winter,Beijing - China,92-United States.png,163,53
4,China,9,4,2,15,2022,winter,Beijing - China,151-China.png,62,53
5,Sweden,8,5,5,18,2022,winter,Beijing - China,23-Sweden.png,5,53
6,Netherlands,8,5,4,17,2022,winter,Beijing - China,14-Netherlands.png,59,53
7,Austria,7,7,4,18,2022,winter,Beijing - China,42-Austria.png,14,53
8,Switzerland,7,2,6,15,2022,winter,Beijing - China,268-Switzerland.png,161,53
9,ROC,5,12,15,32,2022,winter,Beijing - China,253-ROC.png,146,53
10,France,5,7,2,14,2022,winter,Beijing - China,3-France.png,51,53
11,Canada,4,8,14,26,2022,winter,Beijing - China,117-Canada.png,41,53
12,Japan,3,7,8,18,2022,winter,Beijing - China,209-Japan.png,106,53
13,Italy,2,7,8,17,2022,winter,Beijing - China,65-Italy.png,113,53
14,South Korea,2,5,2,9,2022,winter,Beijing - China,235-South Korea.png,129,53
15,Slovenia,2,3,2,7,2022,winter,Beijing - China,183-Slovenia.png,87,53
16,Finland,2,2,4,8,2022,winter,Beijing - China,30-Finland.png,8,53
17,New Zealand,2,1,0,3,2022,winter,Beijing - China,37-New Zealand.png,12,53
18,Australia,1,2,1,4,2022,winter,Beijing - China,33-Australia.png,53,53
19,Great Britain,1,1,0,2,2022,winter,Beijing - China,269-Great Britain.png,162,53
20,Hungary,1,0,2,3,2022,winter,Beijing - China,94-Hungary.png,30,53
21,Belgium,1,0,1,2,2022,winter,Beijing - China,12-Belgium.png,56,53
21,Czech Republic,1,0,1,2,2022,winter,Beijing - China,189-Czech Republic.png,93,53
21,Slovakia,1,0,1,2,2022,winter,Beijing - China,195-Slovakia.png,97,53
24,Belarus,0,2,0,2,2022,winter,Beijing - China,247-Belarus.png,165,53
25,Spain,0,1,0,1,2022,winter,Beijing - China,152-Spain.png,63,53
25,Ukraine,0,1,0,1,2022,winter,Beijing - China,188-Ukraine.png,92,53
27,Estonia,0,0,1,1,2022,winter,Beijing - China,31-Estonia.png,9,53
27,Latvia,0,0,1,1,2022,winter,Beijing - China,56-Latvia.png,18,53
27,Poland,0,0,1,1,2022,winter,Beijing - China,138-Poland.png,52,53
1,United States,40,44,42,126,2024,summer,Paris - France,92-United States.png,163,54
2,China,40,27,24,91,2024,summer,Paris - France,151-China.png,62,54
3,Japan,20,12,13,45,2024,summer,Paris - France,209-Japan.png,106,54
4,Australia,18,19,16,53,2024,summer,Paris - France,33-Australia.png,53,54
5,France,16,26,22,64,2024,summer,Paris - France,3-France.png,51,54
6,Netherlands,15,7,12,34,2024,summer,Paris - France,14-Netherlands.png,59,54
7,Great Britain,14,22,29,65,2024,summer,Paris - France,4-Great Britain.png,162,54
8,South Korea,13,9,10,32,2024,summer,Paris - France,235-South Korea.png,129,54
9,Italy,12,13,15,40,2024,summer,Paris - France,65-Italy.png,113,54
10,Germany,12,13,8,33,2024,summer,Paris - France,81-Germany.png,24,54
11,New Zealand,10,7,3,20,2024,summer,Paris - France,37-New Zealand.png,12,54
12,Canada,9,7,11,27,2024,summer,Paris - France,117-Canada.png,41,54
13,Uzbekistan,8,2,3,13,2024,summer,Paris - France,201-Uzbekistan.png,101,54
14,Hungary,6,7,6,19,2024,summer,Paris - France,94-Hungary.png,30,54
15,Spain,5,4,9,18,2024,summer,Paris - France,152-Spain.png,63,54
16,Sweden,4,4,3,11,2024,summer,Paris - France,23-Sweden.png,5,54
17,Kenya,4,2,5,11,2024,summer,Paris - France,110-Kenya.png,37,54
18,Norway,4,1,3,8,2024,summer,Paris - France,17-Norway.png,3,54
19,Ireland,4,0,3,7,2024,summer,Paris - France,51-Ireland.png,60,54
20,Brazil,3,7,10,20,2024,summer,Paris - France,174-Brazil.png,82,54
21,Iran,3,6,3,12,2024,summer,Paris - France,166-Iran.png,74,54
22,Ukraine,3,5,4,12,2024,summer,Paris - France,188-Ukraine.png,92,54
23,Romania,3,4,2,9,2024,summer,Paris - France,47-Romania.png,39,54
24,Georgia,3,3,1,7,2024,summer,Paris - France,218-Georgia.png,114,54
25,Belgium,3,1,6,10,2024,summer,Paris - France,12-Belgium.png,56,54
26,Bulgaria,3,1,3,7,2024,summer,Paris - France,173-Bulgaria.png,81,54
27,Serbia,3,1,1,5,2024,summer,Paris - France,238-Serbia.png,132,54
28,Czech Republic,3,0,2,5,2024,summer,Paris - France,189-Czech Republic.png,93,54
29,Denmark,2,2,5,9,2024,summer,Paris - France,8-Denmark.png,54,54
30,Azerbaijan,2,2,3,7,2024,summer,Paris - France,246-Azerbaijan.png,140,54
30,Croatia,2,2,3,7,2024,summer,Paris - France,179-Croatia.png,84,54
32,Cuba,2,1,6,9,2024,summer,Paris - France,15-Cuba.png,2,54
33,Bahrain,2,1,1,4,2024,summer,Paris - France,239-Bahrain.png,133,54
34,Slovenia,2,1,0,3,2024,summer,Paris - France,183-Slovenia.png,87,54
35,Chinese Taipei,2,0,5,7,2024,summer,Paris - France,159-Chinese Taipei.png,69,54
36,Austria,2,0,3,5,2024,summer,Paris - France,42-Austria.png,14,54
37,Hong Kong,2,0,2,4,2024,summer,Paris - France,223-Hong Kong.png,119,54
37,Philippines,2,0,2,4,2024,summer,Paris - France,252-Philippines.png,145,54
39,Algeria,2,0,1,3,2024,summer,Paris - France,157-Algeria.png,67,54
39,Indonesia,2,0,1,3,2024,summer,Paris - France,165-Indonesia.png,73,54
42,Poland,1,4,5,10,2024,summer,Paris - France,138-Poland.png,52,54
43,Kazakhstan,1,3,3,7,2024,summer,Paris - France,190-Kazakhstan.png,94,54
44,Jamaica,1,3,2,6,2024,summer,Paris - France,122-Jamaica.png,43,54
44,South Africa,1,3,2,6,2024,summer,Paris - France,191-South Africa.png,95,54
44,Thailand,1,3,2,6,2024,summer,Paris - France,134-Thailand.png,50,54
0,Individual Neutral Athletes,1,3,1,5,2024,summer,Paris - France,261-Individual Neutral Athletes.png,154,54
47,Ethiopia,1,3,0,4,2024,summer,Paris - France,236-Ethiopia.png,130,54
48,Switzerland,1,2,5,8,2024,summer,Paris - France,9-Switzerland.png,161,54
49,Ecuador,1,2,2,5,2024,summer,Paris - France,254-Ecuador.png,147,54
50,Portugal,1,2,1,4,2024,summer,Paris - France,46-Portugal.png,16,54
51,Greece,1,1,6,8,2024,summer,Paris - France,144-Greece.png,55,54
52,Argentina,1,1,1,3,2024,summer,Paris - France,237-Argentina.png,131,54
52,Egypt,1,1,1,3,2024,summer,Paris - France,220-Egypt.png,116,54
52,Tunisia,1,1,1,3,2024,summer,Paris - France,226-Tunisia.png,122,54
55,Botswana,1,1,0,2,2024,summer,Paris - France,241-Botswana.png,135,54
55,Chile,1,1,0,2,2024,summer,Paris - France,52-Chile.png,17,54
55,Saint Lucia,1,1,0,2,2024,summer,Paris - France,262-Saint Lucia.png,155,54
55,Uganda,1,1,0,2,2024,summer,Paris - France,120-Uganda.png,42,54
59,Dominican Republic,1,0,2,3,2024,summer,Paris - France,160-Dominican Republic.png,70,54
60,Guatemala,1,0,1,2,2024,summer,Paris - France,244-Guatemala.png,138,54
60,Morocco,1,0,1,2,2024,summer,Paris - France,100-Morocco.png,32,54
62,Dominica,1,0,0,1,2024,summer,Paris - France,263-Dominica.png,156,54
62,Pakistan,1,0,0,1,2024,summer,Paris - France,90-Pakistan.png,28,54
64,Turkey,0,3,5,8,2024,summer,Paris - France,66-Turkey.png,19,54
65,Mexico,0,3,2,5,2024,summer,Paris - France,115-Mexico.png,40,54
66,Armenia,0,3,1,4,2024,summer,Paris - France,196-Armenia.png,98,54
66,Colombia,0,3,1,4,2024,summer,Paris - France,129-Colombia.png,47,54
68,Kyrgyzstan,0,2,4,6,2024,summer,Paris - France,264-Kyrgyzstan.png,157,54
68,North Korea,0,2,4,6,2024,summer,Paris - France,172-North Korea.png,80,54
70,Lithuania,0,2,2,4,2024,summer,Paris - France,219-Lithuania.png,115,54
71,India,0,1,5,6,2024,summer,Paris - France,68-India.png,20,54
72,Moldova,0,1,3,4,2024,summer,Paris - France,200-Moldova.png,100,54
73,Kosovo,0,1,1,2,2024,summer,Paris - France,251-Kosovo.png,144,54
74,Cyprus,0,1,0,1,2024,summer,Paris - France,242-Cyprus.png,136,54
74,Fiji,0,1,0,1,2024,summer,Paris - France,249-Fiji.png,142,54
74,Jordan,0,1,0,1,2024,summer,Paris - France,250-Jordan.png,143,54
74,Mongolia,0,1,0,1,2024,summer,Paris - France,182-Mongolia.png,86,54
74,Panama,0,1,0,1,2024,summer,Paris - France,74-Panama.png,23,54
79,Tajikistan,0,0,3,3,2024,summer,Paris - France,228-Tajikistan.png,123,54
80,Albania,0,0,2,2,2024,summer,Paris - France,265-Albania.png,158,54
80,Grenada,0,0,2,2,2024,summer,Paris - France,240-Grenada.png,134,54
80,Malaysia,0,0,2,2,2024,summer,Paris - France,185-Malaysia.png,89,54
80,Puerto Rico,0,0,2,2,2024,summer,Paris - France,207-Puerto Rico.png,105,54
84,Cape Verde,0,0,1,1,2024,summer,Paris - France,266-Cape Verde.png,159,54
84,Ivory Coast,0,0,1,1,2024,summer,Paris - France,154-Ivory Coast.png,64,54
84,Peru,0,0,1,1,2024,summer,Paris - France,155-Peru.png,65,54
84,Qatar,0,0,1,1,2024,summer,Paris - France,186-Qatar.png,90,54
84,Refugee Olympic Team,0,0,1,1,2024,summer,Paris - France,267-Refugee Olympic Team.png,160,54
84,Singapore,0,0,1,1,2024,summer,Paris - France,101-Singapore.png,33,54
84,Slovakia,0,0,1,1,2024,summer,Paris - France,195-Slovakia.png,97,54
84,Zambia,0,0,1,1,2024,summer,Paris - France,204-Zambia.png,103,54
